config,model_path,module_id,phase,flow_step,tensor_role,attention_kind,calls,total_elements,protected_elements,fp_sidepath_ratio
,,expert.layer.0.pv,denoise,0,A,self,1465,249416250,2197500,0.00881057268722467
,,expert.layer.0.pv,denoise,0,B,self,1465,319252800,6293409,0.019712932823142036
,,expert.layer.0.pv,denoise,0,O,self,1465,70320000,1098750,0.015625
,,expert.layer.0.pv,denoise,1,A,self,1465,249416250,2197500,0.00881057268722467
,,expert.layer.0.pv,denoise,1,B,self,1465,319252800,6706188,0.021005886244380628
,,expert.layer.0.pv,denoise,1,O,self,1465,70320000,1098750,0.015625
,,expert.layer.0.pv,denoise,2,A,self,1465,249416250,2197500,0.00881057268722467
,,expert.layer.0.pv,denoise,2,B,self,1465,319252800,6797817,0.021292897039587436
,,expert.layer.0.pv,denoise,2,O,self,1465,70320000,1098750,0.015625
,,expert.layer.0.pv,denoise,3,A,self,1465,249416250,2197500,0.00881057268722467
,,expert.layer.0.pv,denoise,3,B,self,1465,319252800,6708525,0.021013206462088978
,,expert.layer.0.pv,denoise,3,O,self,1465,70320000,1098750,0.015625
,,expert.layer.0.pv,denoise,4,A,self,1465,249416250,2197500,0.00881057268722467
,,expert.layer.0.pv,denoise,4,B,self,1465,319252800,6520275,0.020423548360421585
,,expert.layer.0.pv,denoise,4,O,self,1465,70320000,1098750,0.015625
,,expert.layer.0.pv,denoise,5,A,self,1465,249416250,2197500,0.00881057268722467
,,expert.layer.0.pv,denoise,5,B,self,1465,319252800,6388143,0.02000966945317316
,,expert.layer.0.pv,denoise,5,O,self,1465,70320000,1098750,0.015625
,,expert.layer.0.pv,denoise,6,A,self,1465,249416250,2197500,0.00881057268722467
,,expert.layer.0.pv,denoise,6,B,self,1465,319252800,6411429,0.02008260851588459
,,expert.layer.0.pv,denoise,6,O,self,1465,70320000,1098750,0.015625
,,expert.layer.0.pv,denoise,7,A,self,1465,249416250,2197500,0.00881057268722467
,,expert.layer.0.pv,denoise,7,B,self,1465,319252800,6515625,0.02040898310053976
,,expert.layer.0.pv,denoise,7,O,self,1465,70320000,1098750,0.015625
,,expert.layer.0.pv,denoise,8,A,self,1465,249416250,2197500,0.00881057268722467
,,expert.layer.0.pv,denoise,8,B,self,1465,319252800,6406002,0.02006560944806122
,,expert.layer.0.pv,denoise,8,O,self,1465,70320000,1098750,0.015625
,,expert.layer.0.pv,denoise,9,A,self,1465,249416250,2197500,0.00881057268722467
,,expert.layer.0.pv,denoise,9,B,self,1465,319252800,6383418,0.019994869269744853
,,expert.layer.0.pv,denoise,9,O,self,1465,70320000,1098750,0.015625
,,expert.layer.0.qk,denoise,0,A,self,1465,70320000,1098750,0.015625
,,expert.layer.0.qk,denoise,0,B,self,1465,319252800,8205615,0.02570256235810618
,,expert.layer.0.qk,denoise,0,O,self,1465,249416250,2197500,0.00881057268722467
,,expert.layer.0.qk,denoise,1,A,self,1465,70320000,1098750,0.015625
,,expert.layer.0.qk,denoise,1,B,self,1465,319252800,8200350,0.025686070725143208
,,expert.layer.0.qk,denoise,1,O,self,1465,249416250,2197500,0.00881057268722467
,,expert.layer.0.qk,denoise,2,A,self,1465,70320000,1098750,0.015625
,,expert.layer.0.qk,denoise,2,B,self,1465,319252800,8194434,0.025667539955796785
,,expert.layer.0.qk,denoise,2,O,self,1465,249416250,2197500,0.00881057268722467
,,expert.layer.0.qk,denoise,3,A,self,1465,70320000,1098750,0.015625
,,expert.layer.0.qk,denoise,3,B,self,1465,319252800,8177280,0.025613808242245642
,,expert.layer.0.qk,denoise,3,O,self,1465,249416250,2197500,0.00881057268722467
,,expert.layer.0.qk,denoise,4,A,self,1465,70320000,1098750,0.015625
,,expert.layer.0.qk,denoise,4,B,self,1465,319252800,8163798,0.025571578385530213
,,expert.layer.0.qk,denoise,4,O,self,1465,249416250,2197500,0.00881057268722467
,,expert.layer.0.qk,denoise,5,A,self,1465,70320000,1098750,0.015625
,,expert.layer.0.qk,denoise,5,B,self,1465,319252800,8152110,0.02553496790004661
,,expert.layer.0.qk,denoise,5,O,self,1465,249416250,2197500,0.00881057268722467
,,expert.layer.0.qk,denoise,6,A,self,1465,70320000,1098750,0.015625
,,expert.layer.0.qk,denoise,6,B,self,1465,319252800,8144346,0.02551064861451489
,,expert.layer.0.qk,denoise,6,O,self,1465,249416250,2197500,0.00881057268722467
,,expert.layer.0.qk,denoise,7,A,self,1465,70320000,1098750,0.015625
,,expert.layer.0.qk,denoise,7,B,self,1465,319252800,8187891,0.02564704522560178
,,expert.layer.0.qk,denoise,7,O,self,1465,249416250,2197500,0.00881057268722467
,,expert.layer.0.qk,denoise,8,A,self,1465,70320000,1098750,0.015625
,,expert.layer.0.qk,denoise,8,B,self,1465,319252800,8198619,0.025680648689690427
,,expert.layer.0.qk,denoise,8,O,self,1465,249416250,2197500,0.00881057268722467
,,expert.layer.0.qk,denoise,9,A,self,1465,70320000,1098750,0.015625
,,expert.layer.0.qk,denoise,9,B,self,1465,319252800,8170911,0.025593858534678476
,,expert.layer.0.qk,denoise,9,O,self,1465,249416250,2197500,0.00881057268722467
,,expert.layer.1.pv,denoise,0,A,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.1.pv,denoise,0,B,cross,1465,248932800,4426956,0.017783739226007983
,,expert.layer.1.pv,denoise,0,O,cross,1465,70320000,1098750,0.015625
,,expert.layer.1.pv,denoise,1,A,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.1.pv,denoise,1,B,cross,1465,248932800,4431507,0.017802021268390505
,,expert.layer.1.pv,denoise,1,O,cross,1465,70320000,1098750,0.015625
,,expert.layer.1.pv,denoise,2,A,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.1.pv,denoise,2,B,cross,1465,248932800,4431642,0.017802563583424923
,,expert.layer.1.pv,denoise,2,O,cross,1465,70320000,1098750,0.015625
,,expert.layer.1.pv,denoise,3,A,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.1.pv,denoise,3,B,cross,1465,248932800,4432329,0.017805323364377856
,,expert.layer.1.pv,denoise,3,O,cross,1465,70320000,1098750,0.015625
,,expert.layer.1.pv,denoise,4,A,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.1.pv,denoise,4,B,cross,1465,248932800,4435290,0.017817218140799444
,,expert.layer.1.pv,denoise,4,O,cross,1465,70320000,1098750,0.015625
,,expert.layer.1.pv,denoise,5,A,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.1.pv,denoise,5,B,cross,1465,248932800,4435635,0.017818604056998515
,,expert.layer.1.pv,denoise,5,O,cross,1465,70320000,1098750,0.015625
,,expert.layer.1.pv,denoise,6,A,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.1.pv,denoise,6,B,cross,1465,248932800,4434744,0.01781502477777135
,,expert.layer.1.pv,denoise,6,O,cross,1465,70320000,1098750,0.015625
,,expert.layer.1.pv,denoise,7,A,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.1.pv,denoise,7,B,cross,1465,248932800,4434108,0.017812469871386977
,,expert.layer.1.pv,denoise,7,O,cross,1465,70320000,1098750,0.015625
,,expert.layer.1.pv,denoise,8,A,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.1.pv,denoise,8,B,cross,1465,248932800,4433628,0.01781054164015349
,,expert.layer.1.pv,denoise,8,O,cross,1465,70320000,1098750,0.015625
,,expert.layer.1.pv,denoise,9,A,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.1.pv,denoise,9,B,cross,1465,248932800,4429848,0.017795356819189756
,,expert.layer.1.pv,denoise,9,O,cross,1465,70320000,1098750,0.015625
,,expert.layer.1.qk,denoise,0,A,cross,1465,70320000,1098750,0.015625
,,expert.layer.1.qk,denoise,0,B,cross,1465,248932800,6679929,0.026834266115192535
,,expert.layer.1.qk,denoise,0,O,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.1.qk,denoise,1,A,cross,1465,70320000,1098750,0.015625
,,expert.layer.1.qk,denoise,1,B,cross,1465,248932800,6686094,0.026859031835097667
,,expert.layer.1.qk,denoise,1,O,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.1.qk,denoise,2,A,cross,1465,70320000,1098750,0.015625
,,expert.layer.1.qk,denoise,2,B,cross,1465,248932800,6684714,0.026853488170301382
,,expert.layer.1.qk,denoise,2,O,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.1.qk,denoise,3,A,cross,1465,70320000,1098750,0.015625
,,expert.layer.1.qk,denoise,3,B,cross,1465,248932800,6684132,0.026851150189930777
,,expert.layer.1.qk,denoise,3,O,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.1.qk,denoise,4,A,cross,1465,70320000,1098750,0.015625
,,expert.layer.1.qk,denoise,4,B,cross,1465,248932800,6687207,0.026863502921270318
,,expert.layer.1.qk,denoise,4,O,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.1.qk,denoise,5,A,cross,1465,70320000,1098750,0.015625
,,expert.layer.1.qk,denoise,5,B,cross,1465,248932800,6691236,0.02687968801218642
,,expert.layer.1.qk,denoise,5,O,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.1.qk,denoise,6,A,cross,1465,70320000,1098750,0.015625
,,expert.layer.1.qk,denoise,6,B,cross,1465,248932800,6696270,0.026899910337247642
,,expert.layer.1.qk,denoise,6,O,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.1.qk,denoise,7,A,cross,1465,70320000,1098750,0.015625
,,expert.layer.1.qk,denoise,7,B,cross,1465,248932800,6698271,0.026907948651202253
,,expert.layer.1.qk,denoise,7,O,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.1.qk,denoise,8,A,cross,1465,70320000,1098750,0.015625
,,expert.layer.1.qk,denoise,8,B,cross,1465,248932800,6697308,0.026904080137290065
,,expert.layer.1.qk,denoise,8,O,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.1.qk,denoise,9,A,cross,1465,70320000,1098750,0.015625
,,expert.layer.1.qk,denoise,9,B,cross,1465,248932800,6698319,0.0269081414743256
