config,model_path,module_id,component,layer_idx,operator,op_type,quantized,method,a_or_A_kind,w_or_B_kind,o_or_O_kind,weight_quant_granularity,outlier_ratio,in_features,out_features,attention_kind
,,vision.layers.0.self_attn.k_proj,vision,0,k_proj,linear,true,pot_ao_outlier,e4m3,int8,e4m3,per_tensor,0.01,768,768,
,,vision.layers.0.self_attn.v_proj,vision,0,v_proj,linear,true,pot_ao_outlier,e4m3,int8,e4m3,per_tensor,0.01,768,768,
,,vision.layers.0.self_attn.q_proj,vision,0,q_proj,linear,true,pot_ao_outlier,e4m3,int8,e4m3,per_tensor,0.01,768,768,
,,vision.layers.0.self_attn.out_proj,vision,0,out_proj,linear,true,pot_ao_outlier,e4m3,int8,e4m3,per_tensor,0.01,768,768,
,,vision.layer.0.qk,vision,0,qk,matmul,true,pot_fp8_outlier,e4m3,e4m3,e4m3,,0.01,,,
,,vision.layer.0.pv,vision,0,pv,matmul,true,pot_fp8_outlier,e4m3,e4m3,e4m3,,0.01,,,
,,vision.layers.0.mlp.fc1,vision,0,fc1,linear,true,pot_ao_outlier,e4m3,int8,e4m3,per_tensor,0.01,768,3072,
,,vision.layers.0.mlp.fc2,vision,0,fc2,linear,true,pot_ao_outlier,e4m3,int8,e4m3,per_tensor,0.01,3072,768,
,,vision.layers.1.self_attn.k_proj,vision,1,k_proj,linear,true,pot_ao_outlier,e4m3,int8,e4m3,per_tensor,0.01,768,768,
,,vision.layers.1.self_attn.v_proj,vision,1,v_proj,linear,true,pot_ao_outlier,e4m3,int8,e4m3,per_tensor,0.01,768,768,
,,vision.layers.1.self_attn.q_proj,vision,1,q_proj,linear,true,pot_ao_outlier,e4m3,int8,e4m3,per_tensor,0.01,768,768,
,,vision.layers.1.self_attn.out_proj,vision,1,out_proj,linear,true,pot_ao_outlier,e4m3,int8,e4m3,per_tensor,0.01,768,768,
,,vision.layer.1.qk,vision,1,qk,matmul,true,pot_fp8_outlier,e4m3,e4m3,e4m3,,0.01,,,
,,vision.layer.1.pv,vision,1,pv,matmul,true,pot_fp8_outlier,e4m3,e4m3,e4m3,,0.01,,,
,,vision.layers.1.mlp.fc1,vision,1,fc1,linear,true,pot_ao_outlier,e4m3,int8,e4m3,per_tensor,0.01,768,3072,
,,vision.layers.1.mlp.fc2,vision,1,fc2,linear,true,pot_ao_outlier,e4m3,int8,e4m3,per_tensor,0.01,3072,768,
,,vision.layers.2.self_attn.k_proj,vision,2,k_proj,linear,true,pot_ao_outlier,e4m3,int8,e4m3,per_tensor,0.01,768,768,
,,vision.layers.2.self_attn.v_proj,vision,2,v_proj,linear,true,pot_ao_outlier,e4m3,int8,e4m3,per_tensor,0.01,768,768,
,,vision.layers.2.self_attn.q_proj,vision,2,q_proj,linear,true,pot_ao_outlier,e4m3,int8,e4m3,per_tensor,0.01,768,768,
,,vision.layers.2.self_attn.out_proj,vision,2,out_proj,linear,true,pot_ao_outlier,e4m3,int8,e4m3,per_tensor,0.01,768,768,
,,vision.layer.2.qk,vision,2,qk,matmul,true,pot_fp8_outlier,e4m3,e4m3,e4m3,,0.01,,,
,,vision.layer.2.pv,vision,2,pv,matmul,true,pot_fp8_outlier,e4m3,e4m3,e4m3,,0.01,,,
,,vision.layers.2.mlp.fc1,vision,2,fc1,linear,true,pot_ao_outlier,e4m3,int8,e4m3,per_tensor,0.01,768,3072,
,,vision.layers.2.mlp.fc2,vision,2,fc2,linear,true,pot_ao_outlier,e4m3,int8,e4m3,per_tensor,0.01,3072,768,
,,vision.layers.3.self_attn.k_proj,vision,3,k_proj,linear,true,pot_ao_outlier,e4m3,int8,e4m3,per_tensor,0.01,768,768,
