config,model_path,module_id,component,operator,layer_idx,weight_spec,stat_semantics,total_elements,zero_elements,zero_rate,total_bits,sparse_bits,sparse_bit_rate,amplitude_zero_bits,amplitude_zero_bit_rate,ideal_sparse_upper_bound,1_bits
,,expert.layers.0.mlp.down_proj,expert,down_proj,0,int4,full_weight_quantized_no_dynamic_outlier_mask,1474560,143693,0.09744805230034723,5898240,4378492,0.7423387315538195,3468905,0.5881254408094618,3.8810644922710873,2429335
,,expert.layers.0.mlp.gate_proj,expert,gate_proj,0,int4,full_weight_quantized_no_dynamic_outlier_mask,1474560,147200,0.0998263888888889,5898240,4385201,0.7434761895073785,3474094,0.5890051947699653,3.898273606959239,2424146
,,expert.layers.0.mlp.up_proj,expert,up_proj,0,int4,full_weight_quantized_no_dynamic_outlier_mask,1474560,147573,0.100079345703125,5898240,4386072,0.7436238606770833,3473304,0.5888712565104167,3.900518989953497,2424936
,,expert.layers.0.self_attn.k_proj,expert,k_proj,0,int4,full_weight_quantized_no_dynamic_outlier_mask,230400,20636,0.08956597222222222,921600,680476,0.7383637152777778,539438,0.5853276909722223,3.822099832451353,382162
,,expert.layers.0.self_attn.o_proj,expert,o_proj,0,int4,full_weight_quantized_no_dynamic_outlier_mask,691200,65300,0.09447337962962964,2764800,2050386,0.7416037326388889,1622811,0.5869542100694445,3.870024943520144,1141989
,,expert.layers.0.self_attn.q_proj,expert,q_proj,0,int4,full_weight_quantized_no_dynamic_outlier_mask,691200,59983,0.08678096064814815,2764800,2037976,0.7371151620370371,1614384,0.58390625,3.803947035320794,1150416
,,expert.layers.0.self_attn.v_proj,expert,v_proj,0,int4,full_weight_quantized_no_dynamic_outlier_mask,230400,23289,0.10108072916666666,921600,686566,0.7449717881944444,543493,0.5897276475694444,3.921134814537471,378107
,,expert.layers.1.mlp.down_proj,expert,down_proj,1,int4,full_weight_quantized_no_dynamic_outlier_mask,1474560,141844,0.09619411892361111,5898240,4362227,0.7395811292860243,3458400,0.5863444010416666,3.839967500275062,2439840
,,expert.layers.1.mlp.gate_proj,expert,gate_proj,1,int4,full_weight_quantized_no_dynamic_outlier_mask,1474560,145282,0.09852566189236112,5898240,4377782,0.7422183566623264,3469906,0.5882951524522569,3.879252172700594,2428334
,,expert.layers.1.mlp.up_proj,expert,up_proj,1,int4,full_weight_quantized_no_dynamic_outlier_mask,1474560,148189,0.10049709743923611,5898240,4382904,0.7430867513020833,3474822,0.5891286214192708,3.892364465702656,2423418
,,expert.layers.1.self_attn.k_proj,expert,k_proj,1,int4,full_weight_quantized_no_dynamic_outlier_mask,102400,10332,0.1008984375,409600,295163,0.72061279296875,232667,0.56803466796875,3.579261951991052,176933
,,expert.layers.1.self_attn.o_proj,expert,o_proj,1,int4,full_weight_quantized_no_dynamic_outlier_mask,691200,55871,0.08083188657407407,2764800,2031696,0.73484375,1608070,0.5816225405092592,3.7713612256923987,1156730
,,expert.layers.1.self_attn.q_proj,expert,q_proj,1,int4,full_weight_quantized_no_dynamic_outlier_mask,691200,58488,0.08461805555555556,2764800,2030875,0.7345468026620371,1611645,0.5829155815972222,3.7671424191845224,1153155
,,expert.layers.1.self_attn.v_proj,expert,v_proj,1,int4,full_weight_quantized_no_dynamic_outlier_mask,102400,10104,0.098671875,409600,295836,0.722255859375,233337,0.56967041015625,3.6004359902957,176263
,,expert.layers.10.mlp.down_proj,expert,down_proj,10,int4,full_weight_quantized_no_dynamic_outlier_mask,1474560,124004,0.08409559461805556,5898240,4343920,0.7364773220486112,3439951,0.5832165188259548,3.7947398219156936,2458289
,,expert.layers.10.mlp.gate_proj,expert,gate_proj,10,int4,full_weight_quantized_no_dynamic_outlier_mask,1474560,122530,0.0830959743923611,5898240,4341018,0.7359853108723958,3436777,0.5826783921983507,3.787668039624408,2461463
,,expert.layers.10.mlp.up_proj,expert,up_proj,10,int4,full_weight_quantized_no_dynamic_outlier_mask,1474560,125829,0.085333251953125,5898240,4348007,0.7371702406141493,3440771,0.5833555433485244,3.804744190066912,2457469
,,expert.layers.10.self_attn.k_proj,expert,k_proj,10,int4,full_weight_quantized_no_dynamic_outlier_mask,230400,13028,0.05654513888888889,921600,668216,0.7250607638888888,526735,0.5715440538194444,3.6371673033814282,394865
,,expert.layers.10.self_attn.o_proj,expert,o_proj,10,int4,full_weight_quantized_no_dynamic_outlier_mask,691200,64843,0.09381221064814815,2764800,2049366,0.7412348090277778,1620842,0.5862420428240741,3.864507417875025,1143958
,,expert.layers.10.self_attn.q_proj,expert,q_proj,10,int4,full_weight_quantized_no_dynamic_outlier_mask,691200,47770,0.06911168981481482,2764800,2018782,0.7301728877314815,1595672,0.5771383101851851,3.7060767970746014,1169128
,,expert.layers.10.self_attn.v_proj,expert,v_proj,10,int4,full_weight_quantized_no_dynamic_outlier_mask,230400,19742,0.08568576388888889,921600,678714,0.7364518229166667,536681,0.5823361545138889,3.794372668659371,384919
,,expert.layers.11.mlp.down_proj,expert,down_proj,11,int4,full_weight_quantized_no_dynamic_outlier_mask,1474560,120841,0.08195054796006944,5898240,4340584,0.7359117296006944,3434823,0.5823471069335937,3.7866127052442895,2463417
,,expert.layers.11.mlp.gate_proj,expert,gate_proj,11,int4,full_weight_quantized_no_dynamic_outlier_mask,1474560,117448,0.07964952256944445,5898240,4325775,0.7334009806315104,3420538,0.5799251980251736,3.7509515315126247,2477702
,,expert.layers.11.mlp.up_proj,expert,up_proj,11,int4,full_weight_quantized_no_dynamic_outlier_mask,1474560,122180,0.0828586154513889,5898240,4345154,0.7366865370008681,3436222,0.5825842963324652,3.797754921491791,2462018
,,expert.layers.11.self_attn.k_proj,expert,k_proj,11,int4,full_weight_quantized_no_dynamic_outlier_mask,102400,12029,0.117470703125,409600,303590,0.7411865234375,240722,0.5877001953125,3.8637864352419586,168878
