config,model_path,module_id,phase,flow_step,tensor_role,attention_kind,op_type,calls,M,K,N,elements,bits,A_bitwidth,B_bitwidth,bit_sparsity,MACs,MAC_semantics,BOP_dense_proxy,BOP_active_proxy
,,vision.layers.0.self_attn.k_proj,prefill,-1,activation,self,linear,2930,1024,768,768,2304245760,9216983040,8,8,0.5335626828928178,603979776,linear_role_derived_v1,38654705664,8409863523.043056
,,vision.layers.0.self_attn.k_proj,prefill,-1,output,self,linear,2930,1024,768,768,2304245760,9216983040,8,8,0.5254145596214529,603979776,linear_role_derived_v1,38654705664,8706251162.485268
,,vision.layers.0.self_attn.v_proj,prefill,-1,activation,self,linear,2930,1024,768,768,2304245760,9216983040,8,8,0.5335626828928178,603979776,linear_role_derived_v1,38654705664,8409863523.043056
,,vision.layers.0.self_attn.v_proj,prefill,-1,output,self,linear,2930,1024,768,768,2304245760,9216983040,8,8,0.5274650616043663,603979776,linear_role_derived_v1,38654705664,8631180932.646484
,,vision.layers.0.self_attn.q_proj,prefill,-1,activation,self,linear,2930,1024,768,768,2304245760,9216983040,8,8,0.5335626828928178,603979776,linear_role_derived_v1,38654705664,8409863523.043056
,,vision.layers.0.self_attn.q_proj,prefill,-1,output,self,linear,2930,1024,768,768,2304245760,9216983040,8,8,0.5257803013164707,603979776,linear_role_derived_v1,38654705664,8692837299.304688
,,vision.layers.0.self_attn.out_proj,prefill,-1,activation,self,linear,2930,1024,768,768,2304245760,9216983040,8,8,0.5296326183757413,603979776,linear_role_derived_v1,38654705664,8552178665.213494
,,vision.layers.0.self_attn.out_proj,prefill,-1,output,self,linear,2930,1024,768,768,2304245760,9216983040,8,8,0.5242822409489862,603979776,linear_role_derived_v1,38654705664,8747845406.107971
,,vision.layer.0.qk,prefill,-1,A,self,matmul,2930,12288,64,1024,2304245760,9216983040,8,8,0.5281081275592756,805306368.0,matmul_physical_exact_v2,51539607552.0,11476939759.183384
,,vision.layer.0.qk,prefill,-1,B,self,matmul,2930,12288,64,1024,2304245760,9216983040,8,8,0.5317942105055669,805306368.0,matmul_physical_exact_v2,51539607552.0,11298340693.091774
,,vision.layer.0.qk,prefill,-1,O,self,matmul,2930,12288,64,1024,36867932160,147471728640,8,8,0.5071772130615204,805306368.0,matmul_physical_exact_v2,51539607552.0,12517646071.719229
